node1,node2,distance,distance_to_depot,total_demand,is_customer,total_service_time,total_ready_time,total_due_time,rain,traffic,cost
0,1,64.33,64.33,4.24,0,6.06,18.77,173.52,0.86,0.85,509.45
0,2,15.83,15.83,2.74,0,2.68,99.29,142.14,0.24,0.81,379.79
0,3,50.0,50.0,6.57,0,5.9,42.3,148.69,0.99,0.72,501.19
0,4,39.53,39.53,5.59,0,4.37,49.13,134.3,0.86,0.09,409.59
0,5,35.01,35.01,2.65,0,6.3,16.77,136.79,0.51,0.1,343.58
0,6,26.89,26.89,6.65,0,4.28,16.92,145.9,0.79,0.49,389.9
0,7,44.42,44.42,2.58,0,1.63,68.36,165.5,0.77,0.1,408.3
0,8,46.24,46.24,1.14,0,3.75,27.01,152.58,0.81,0.33,377.97
0,9,34.38,34.38,2.87,0,7.32,25.59,170.42,0.47,0.2,400.17
0,10,55.19,55.19,8.63,0,4.88,23.07,178.5,0.92,0.53,519.55
0,11,44.09,44.09,9.64,0,8.59,62.85,144.02,0.39,0.71,532.35
0,12,40.62,40.62,1.82,0,5.98,46.41,130.02,0.63,0.77,405.67
0,13,30.67,30.67,5.15,0,9.94,62.31,195.71,0.95,0.23,529.26
0,14,30.41,30.41,5.1,0,7.19,58.05,100.29,0.8,0.68,416.06
0,15,28.57,28.57,7.71,0,6.66,0.52,176.25,0.36,0.02,396.61
0,16,25.26,25.26,8.83,0,9.47,81.68,101.49,0.77,0.38,474.19
0,17,34.33,34.33,5.51,0,8.0,42.75,146.96,0.28,0.1,412.47
0,18,50.7,50.7,3.01,0,5.88,9.94,168.1,0.2,0.03,379.84
0,19,39.69,39.69,9.57,0,8.01,76.57,188.38,0.27,0.37,552.13
0,20,34.5,34.5,9.96,0,7.87,25.09,162.48,0.58,0.75,501.37
0,21,31.96,31.96,3.59,0,2.8,70.35,178.29,0.01,0.56,404.96
0,22,44.21,44.21,1.24,0,6.34,97.15,192.83,0.71,0.4,509.7
0,23,42.94,42.94,3.28,0,7.73,72.71,119.44,0.17,0.52,422.63
0,24,49.48,49.48,6.6,0,8.3,47.74,170.13,0.07,0.66,502.33
0,25,40.08,40.08,7.66,0,1.35,3.34,193.59,0.11,0.7,407.69
0,26,18.97,18.97,2.06,0,1.15,5.58,125.18,0.94,0.38,266.8
0,27,49.27,49.27,7.11,0,3.07,3.48,173.48,0.13,0.19,393.3
0,28,46.3,46.3,6.75,0,8.82,54.04,106.17,0.72,0.18,453.51
0,29,52.05,52.05,5.4,0,1.34,61.75,117.91,0.27,0.17,373.16
0,30,22.3,22.3,5.08,0,3.64,43.06,149.48,0.53,0.17,359.34
0,31,44.38,44.38,3.73,0,7.97,8.02,169.17,0.3,0.44,419.95
0,32,40.95,40.95,5.41,0,2.55,3.71,156.66,0.28,0.17,344.37
0,33,30.69,30.69,9.82,0,5.21,94.43,142.18,0.34,0.77,503.79
0,34,6.3,6.3,6.95,0,5.76,30.43,154.4,0.69,0.07,362.53
0,35,45.51,45.51,3.3,0,7.52,5.89,118.14,0.98,0.18,381.25
0,36,48.14,48.14,9.89,0,2.71,84.22,139.67,0.92,0.2,502.17
0,37,40.87,40.87,7.09,0,7.24,86.48,135.32,0.89,0.39,510.84
0,38,46.19,46.19,5.07,0,1.73,80.75,115.27,0.35,0.37,392.4
0,39,28.3,28.3,2.37,0,5.96,39.08,121.99,0.74,0.28,351.97
0,40,30.66,30.66,3.39,0,1.09,55.7,136.53,0.42,0.39,338.85
0,41,25.19,25.19,5.76,0,9.52,86.71,128.37,0.82,0.13,465.76
0,42,48.27,48.27,8.02,0,9.23,17.64,183.33,0.77,0.24,520.51
0,43,26.74,26.74,9.86,0,7.81,61.26,179.86,0.41,0.18,500.8
0,44,43.21,43.21,7.21,0,8.12,56.79,163.88,0.84,0.67,535.89
0,45,36.54,36.54,3.42,0,1.94,50.61,140.75,0.0,0.52,344.04
0,46,43.65,43.65,2.21,0,2.3,50.93,188.53,0.22,0.23,394.36
0,47,18.34,18.34,3.06,0,1.21,49.8,176.83,0.99,0.59,385.01
0,48,55.93,55.93,6.7,0,5.26,57.28,146.51,0.65,0.0,467.75
0,49,27.98,27.98,7.75,0,4.65,50.61,179.86,0.9,0.88,499.43
1,0,64.33,0.0,4.24,0,6.06,18.77,173.52,0.57,0.37,406.62
1,2,59.43,15.83,6.98,1,8.74,99.29,142.14,0.46,0.01,597.39
1,3,98.4,50.0,10.81,1,11.96,42.3,148.69,0.54,0.96,742.09
1,4,78.02,39.53,9.83,1,10.43,49.13,134.3,0.55,0.99,680.58
1,5,68.84,35.01,6.89,1,12.36,18.77,136.79,0.09,0.6,586.41
1,6,91.17,26.89,10.89,1,10.34,18.77,145.9,0.33,0.72,647.53
1,7,35.55,44.42,6.82,1,7.69,68.36,165.5,0.14,0.2,575.93
1,8,62.08,46.24,5.38,1,9.81,27.01,152.58,0.47,0.26,576.31
1,9,96.68,34.38,7.11,1,13.38,25.59,170.42,0.33,0.58,677.47
1,10,117.83,55.19,12.87,1,10.94,23.07,173.52,0.54,0.91,780.21
1,11,92.59,44.09,13.88,1,14.65,62.85,144.02,0.62,0.88,803.85
1,12,45.18,40.62,6.06,1,12.04,46.41,130.02,0.55,0.0,570.73
1,13,94.86,30.67,9.39,1,16.0,62.31,173.52,0.79,0.17,763.26
1,14,57.42,30.41,9.34,1,13.25,58.05,100.29,0.39,0.45,614.07
1,15,40.58,28.57,11.95,1,12.72,18.77,173.52,0.58,0.69,671.64
1,16,79.65,25.26,13.07,1,15.53,81.68,101.49,0.3,0.67,722.58
1,17,92.8,34.33,9.75,1,14.06,42.75,146.96,0.59,0.12,690.44
1,18,22.31,50.7,7.25,1,11.94,18.77,168.1,0.08,0.45,578.28
1,19,102.08,39.69,13.81,1,14.07,76.57,173.52,0.4,0.61,821.16
1,20,33.11,34.5,14.2,1,13.93,25.09,162.48,0.77,0.76,712.98
1,21,87.41,31.96,7.83,1,8.86,70.35,173.52,0.99,0.59,709.14
1,22,105.88,44.21,5.48,1,12.4,97.15,173.52,0.05,0.43,723.56
1,23,101.46,42.94,7.52,1,13.79,72.71,119.44,0.96,0.63,729.15
1,24,50.83,49.48,10.84,1,14.36,47.74,170.13,0.89,0.66,747.68
1,25,33.64,40.08,11.9,1,7.41,18.77,173.52,0.82,0.72,636.11
1,26,70.99,18.97,6.3,1,7.21,18.77,125.18,0.19,0.26,491.51
1,27,100.53,49.27,11.35,1,9.13,18.77,173.48,0.54,0.72,709.85
1,28,107.47,46.3,10.99,1,14.88,54.04,106.17,0.38,0.52,717.68
1,29,91.97,52.05,9.64,1,7.4,61.75,117.91,0.88,0.82,679.08
1,30,64.6,22.3,9.32,1,9.7,43.06,149.48,0.57,0.67,631.64
1,31,75.08,44.38,7.97,1,14.03,18.77,169.17,0.87,0.69,705.4
1,32,93.04,40.95,9.65,1,8.61,18.77,156.66,0.09,0.81,637.02
1,33,91.82,30.69,14.06,1,11.27,94.43,142.18,0.29,0.54,753.92
1,34,66.24,6.3,11.19,1,11.82,30.43,154.4,0.31,0.93,649.47
1,35,19.21,45.51,7.54,1,13.58,18.77,118.14,0.52,0.78,577.83
1,36,51.54,48.14,14.13,1,8.77,84.22,139.67,0.15,0.94,707.07
1,37,104.52,40.87,11.33,1,13.3,86.48,135.32,0.25,0.69,760.49
1,38,29.53,46.19,9.31,1,7.79,80.75,115.27,0.0,0.26,555.74
1,39,90.06,28.3,6.61,1,12.02,39.08,121.99,0.64,0.61,628.23
1,40,86.77,30.66,7.63,1,7.15,55.7,136.53,0.21,0.74,604.96
1,41,45.52,25.19,10.0,1,15.58,86.71,128.37,0.52,0.61,698.09
1,42,112.31,48.27,12.26,1,15.29,18.77,173.52,0.94,0.97,823.87
1,43,39.14,26.74,14.1,1,13.87,61.26,173.52,0.01,0.77,719.36
1,44,61.6,43.21,11.45,1,14.18,56.79,163.88,0.08,0.64,717.78
1,45,73.8,36.54,7.66,1,8.0,50.61,140.75,0.5,0.02,584.3
1,46,73.6,43.65,6.45,1,8.36,50.93,173.52,0.86,0.1,637.8
1,47,71.36,18.34,7.3,1,7.27,49.8,173.52,0.92,0.78,643.72
1,48,82.36,55.93,10.94,1,11.32,57.28,146.51,0.85,0.52,733.18
1,49,36.59,27.98,11.99,1,10.71,50.61,173.52,0.75,0.67,686.7
2,0,15.83,0.0,2.74,0,2.68,99.29,142.14,0.18,0.87,363.96
2,1,59.43,64.33,6.98,1,8.74,99.29,142.14,0.68,0.93,702.89
2,3,65.82,50.0,9.31,1,8.58,99.29,142.14,0.09,0.94,687.65
2,4,26.86,39.53,8.33,1,7.05,99.29,134.3,0.87,0.79,636.78
2,5,49.07,35.01,5.39,1,8.98,99.29,136.79,0.5,0.45,611.36
2,6,35.63,26.89,9.39,1,6.96,99.29,142.14,0.1,0.62,603.45
2,7,48.96,44.42,5.32,1,4.31,99.29,142.14,0.47,0.59,584.11
2,8,30.41,46.24,3.88,1,6.43,99.29,142.14,0.24,0.01,533.68
2,9,47.53,34.38,5.61,1,10.0,99.29,142.14,0.53,0.81,646.44
2,10,67.2,55.19,11.37,1,7.56,99.29,142.14,0.08,0.74,694.12
2,11,36.26,44.09,12.38,1,11.27,99.29,142.14,0.85,0.31,716.28
2,12,48.22,40.62,4.56,1,8.66,99.29,130.02,0.54,0.67,610.85
2,13,38.65,30.67,7.89,1,12.62,99.29,142.14,0.74,0.57,681.35
2,14,14.59,30.41,7.84,1,9.87,99.29,100.29,0.13,0.78,567.18
2,15,19.14,28.57,10.45,1,9.34,99.29,142.14,0.92,0.12,639.04
2,16,41.07,25.26,11.57,1,12.15,99.29,101.49,0.82,0.66,678.31
2,17,49.27,34.33,8.25,1,10.68,99.29,142.14,0.94,0.12,667.33
2,18,41.62,50.7,5.75,1,8.56,99.29,142.14,0.98,0.38,644.85
2,19,43.26,39.69,12.31,1,10.69,99.29,142.14,0.98,0.02,704.38
2,20,36.07,34.5,12.7,1,10.55,99.29,142.14,0.8,0.58,713.5
2,21,47.55,31.96,6.33,1,5.48,99.29,142.14,0.9,0.19,593.54
2,22,57.36,44.21,3.98,1,9.02,99.29,142.14,0.93,0.41,640.0
2,23,42.07,42.94,6.02,1,10.41,99.29,119.44,0.21,0.09,583.04
2,24,34.34,49.48,9.34,1,10.98,99.29,142.14,0.08,0.36,650.45
2,25,43.51,40.08,10.4,1,4.03,99.29,142.14,0.48,0.99,642.82
2,26,11.63,18.97,4.8,1,3.83,99.29,125.18,0.06,0.16,452.37
2,27,43.26,49.27,9.85,1,5.75,99.29,142.14,0.01,0.56,618.46
2,28,48.15,46.3,9.49,1,11.5,99.29,106.17,0.01,0.26,623.31
2,29,40.93,52.05,8.14,1,4.02,99.29,117.91,0.54,0.22,569.78
2,30,36.5,22.3,7.82,1,6.32,99.29,142.14,0.67,0.9,620.13
2,31,30.02,44.38,6.47,1,10.65,99.29,142.14,0.81,0.47,651.03
2,32,56.68,40.95,8.15,1,5.23,99.29,142.14,0.6,0.64,634.86
2,33,44.79,30.69,12.56,1,7.89,99.29,142.14,0.74,0.54,685.41
2,34,22.06,6.3,9.69,1,8.44,99.29,142.14,0.25,0.34,580.59
2,35,42.52,45.51,6.04,1,10.2,99.29,118.14,0.29,0.16,590.36
2,36,57.15,48.14,12.63,1,5.39,99.29,139.67,0.81,0.69,699.45
2,37,52.17,40.87,9.83,1,9.92,99.29,135.32,0.27,0.85,681.15
2,38,35.65,46.19,7.81,1,4.41,99.29,115.27,0.87,0.72,598.1
2,39,31.32,28.3,5.11,1,8.64,99.29,121.99,0.09,0.24,534.9
2,40,27.46,30.66,6.13,1,3.77,99.29,136.53,0.0,0.6,522.94
2,41,31.7,25.19,8.5,1,12.2,99.29,128.37,0.78,0.54,657.55
2,42,54.91,48.27,10.76,1,11.91,99.29,142.14,0.96,0.75,756.81
2,43,28.66,26.74,12.6,1,10.49,99.29,142.14,0.99,0.25,689.73
2,44,55.02,43.21,9.95,1,10.8,99.29,142.14,0.91,0.5,717.66
2,45,23.1,36.54,6.16,1,4.62,99.29,140.75,0.73,0.43,565.48
2,46,29.07,43.65,4.95,1,4.98,99.29,142.14,0.21,0.29,538.45
2,47,11.94,18.34,5.8,1,3.89,99.29,142.14,0.44,0.96,538.61
2,48,41.54,55.93,9.44,1,7.94,99.29,142.14,0.52,0.69,673.2
2,49,27.24,27.98,10.49,1,7.33,99.29,142.14,0.64,0.3,621.85
3,0,50.0,0.0,6.57,0,5.9,42.3,148.69,0.37,0.24,396.19
3,1,98.4,64.33,10.81,1,11.96,42.3,148.69,0.82,0.12,728.42
3,2,65.82,15.83,9.31,1,8.58,99.29,142.14,0.55,0.16,637.48
3,4,86.0,39.53,12.16,1,10.27,49.13,134.3,0.44,0.28,669.26
3,5,30.02,35.01,9.22,1,12.2,42.3,136.79,0.36,0.14,583.32
3,6,46.33,26.89,13.22,1,10.18,42.3,145.9,0.49,0.29,634.42
3,7,64.68,44.42,9.15,1,7.53,68.36,148.69,0.11,0.59,627.95
3,8,96.18,46.24,7.71,1,9.65,42.3,148.69,0.56,0.75,672.51
3,9,30.76,34.38,9.44,1,13.22,42.3,148.69,0.67,0.21,626.73
3,10,38.36,55.19,15.2,1,10.78,42.3,148.69,0.6,0.3,689.34
3,11,83.79,44.09,16.21,1,14.49,62.85,144.02,0.89,0.49,810.75
3,12,55.08,40.62,8.39,1,11.88,46.41,130.02,0.59,0.52,630.33
3,13,48.13,30.67,11.72,1,15.84,62.31,148.69,0.92,0.37,729.9
3,14,80.41,30.41,11.67,1,13.09,58.05,100.29,0.6,0.98,695.76
3,15,75.03,28.57,14.28,1,12.56,42.3,148.69,0.87,0.4,726.49
3,16,24.74,25.26,15.4,1,15.37,81.68,101.49,0.12,0.98,695.87
3,17,21.28,34.33,12.08,1,13.9,42.75,146.96,0.57,0.56,661.62
3,18,93.37,50.7,9.58,1,11.78,42.3,148.69,0.64,0.65,713.16
3,19,60.83,39.69,16.14,1,13.91,76.57,148.69,0.25,0.88,782.78
3,20,65.81,34.5,16.53,1,13.77,42.3,148.69,0.44,0.92,762.3
3,21,19.08,31.96,10.16,1,8.7,70.35,148.69,0.91,0.81,644.68
3,22,29.52,44.21,7.81,1,12.24,97.15,148.69,0.17,0.2,638.57
