CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    1      35.00      35.00       0.00       0.00     230.00       0.00
    2      41.00      49.00      10.00     0.00     230.00      10.00
    3      35.00      17.00       7.00      0.00      230.00      10.00
    4      55.00      45.00      13.00     0.00     230.00      10.00
    5      55.00      20.00      19.00     0.00     230.00      10.00
    6      15.00      30.00      26.00      0.00      230.00      10.00
    7      25.00      30.00       3.00      0.00     230.00      10.00
    8      20.00      50.00       5.00      0.00      230.00      10.00
    9      10.00      43.00       9.00      0.00     230.00      10.00
   10      55.00      60.00      16.00      0.00     230.00      10.00
   11      30.00      60.00      16.00     0.00     230.00      10.00
   12      20.00      65.00      12.00      0.00      230.00      10.00
   13      50.00      35.00      19.00      0.00      230.00      10.00
   14      30.00      25.00      23.00     0.00     230.00      10.00
   15      15.00      10.00      20.00      0.00      230.00      10.00
   16      30.00       5.00       8.00      0.00      230.00      10.00
   17      10.00      20.00      19.00      0.00      230.00      10.00
   18       5.00      30.00       2.00     0.00     230.00      10.00
   19      20.00      40.00      12.00      0.00      230.00      10.00
   20      15.00      60.00      17.00      0.00      230.00      10.00



